company,type,model,oui_regex,rtsp_url,video_encoding,port,streams,channels,stream_names,channel_names,low_res_stream,high_res_stream,username,password,is_digest_auth_supported,user_manual_url
Digital Watchdog,nvr,VMAX 960H Core,(00:1C:84|3C:04:BF),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/rtsp/unicast/live/profile-{{channel}},H.264,554,,1;2;3;4,,,,,admin,,,http://www.advancealarms.com/user-manuals/digital-watchdog-vmax-960h-core.pdf
Digital Watchdog,nvr,VMAX IP Plus,(00:1C:84|3C:04:BF),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/rtsp/unicast/live/profile-{{channel}},H.264,554,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,,,,,admin,,,http://digital-watchdog.com/forcedown?file_path=_gendownloads/1a4b1b60-fee9-4212-9229-5c3e27685431/&file_name=DW_MAN_VMAXIPPlus_Rev0416.pdf
IC Realtime,camera,Camera,(A0:BD:1D|14:A7:8B|3C:EF:8C|4C:11:BF|E0:50:8B|90:02:A9|9C:8E:CD),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/cam/realmonitor?channel=1&subtype={{stream}},H.264,554,0;1,,,,1,0,admin,admin,,http://icrealtime.com/docs/product-manual/Man_ICIPB2000.pdf
Samsung Techwin,camera,SNH-E6411BN;SNH-V6414BN;SNH-E6440BN;SNH-V6410BN,(00:09:18|00:16:1C),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/profile{{stream}}/media.smp,H.264,554,2;3;4;5,,Low 360p;Mid 720p;High 1080p,,3,5,admin,4321,,https://www.samsungsv.com/Download/SNH-P6410BN-User-Manual.pdf
Samsung Techwin,camera,SNC-4241BE,(00:16:1C),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/ch01/{{stream}},H.264,554,0;1;2,,Main stream;Sub Stream;Mobile Stream,,2,0,admin,admin,,https://www.samsungsv.com/Download/SNK-D5081_User_Manaul.pdf
Samsung Techwin,nvr,SDR-B74301,(00:16:6C),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/ch{{channel}}/{{stream}},H.264,554,0;1,01;02;03;04;05;06;07;08,main_stream;sub_stream,Channel {{channel}},1,0,admin,111111,TRUE,https://cdn.shopify.com/s/files/1/0860/0718/files/SDH-B74041_-_User_Manual.pdf
Bosch,camera,Bosch,(00:04:63),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/rtsp_tunnel,H.264,554,,,,,,,admin,,,http://resource.boschsecurity.us/documents/Installation_Manual_enUS_1997482635.pdf
IDIS,camera,IDIS,(00:03:22),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/trackID={{stream}},H.264,554,3,,Channel {{stream}},,3,3,admin,12345,,http://www.idisglobal.com/support/faq?per_page=9
Sricam,camera,SP-009,(28:F3:66|B6:75:0E),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/onvif{{stream}},H.264,554,1,,,,,,admin,,,http://download.sricam.com/Manual/Mini-IP-Camera-User-Manual-sp009.pdf
Sumpple,camera,S650,(54:CD:EE),rtsp://{{ip_address}}:{{port}}/live/av0?user={{username}}&passwd={{password}},H.264,554,1,,,,,,admin,sumpple,,https://www.ispyconnect.com/man.aspx?n=Sumpple
Avigilon,camera,3.0W-H3-BO1-IR;3.0W-H3-DO1-IR;2.0-H3-DO1;3.0W-H3-D1;3.0W-H3-DO1,(00:18:85),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/defaultPrimary?streamType=u,H.264,554,,,,,,,admin,admin,,http://4a54f0271b66873b1ef4-ddc094ae70b29d259d46aa8a44a90623.r7.cf2.rackcdn.com/assets/Uploads/en_US/PDFH3-BO10212014.pdf
Avigilon,nvr,ENC-4P-H264,(00:18:85),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/default{{stream}}{{channel}}?streamtype=u,H.264,554,Primary;Secondary,0;1;2;3,Stream {{stream}},Channel {{channel}},Secondary,Primary,admin,admin,,http://avigilon.com/assets/Uploads/UG-H3A-Rev1UserGuide.pdf
Dbell,camera,HD+,(00:AD:26),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/av0_0,H.264,554,,,,,,,admin,admin,,https://www.dbell.ca/wp-content/uploads/2016/05/dbell-Quick-User-Guide-Eng.pdf
Zavio,camera,B8220;B8520,(00:1B:FE),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/video.pro{{stream}},H.264;H.265,554,1;2;3;4,,Profile {{stream}},,1,4,admin,admin,,http://www.zavio.com/downloads/product/90/User%20Manual_%205MP%20B8520%20motorized%20bullet%20_1028.pdf
ACTi,camera,A82 Dome,(00:0F:7C),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/track{{stream}},H.264,7070,1;2;3,,Stream {{stream}},,3,1,admin,,,http://www2.acti.com/getfile/KnowledgeBase_UploadFile/Third_Party_or_Open_Source_Software_Integration_20100402_006.pdf
DoorBird,camera,Doorbell Camera,(1C:CA:E3),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/mpeg/media.amp,H.264,554,,,,,,,admin,,,http://www.doorbird.com/downloads/api_lan.pdf?rev=0.13
Arecont,camera,AV Models,(00:1A:07),rtsp://{{username}}:{{password}}@{{ip_address}}/h264.sdp?res=full&doublescan=0&fps=0&bitrate=2000&ssn={{stream}},H.264,554,1;2;3,,Stream {{stream}},,3,1,admin,,,https://www.arecontvision.com/forcedown_downloads.php?id=VGpHNVNCR3E4NWJWZHNoRWJwSmhXbGxBcURQZVMxUVZmRGhoOGZWbkYzUT0=&encrypt=true
Microseven,camera,M7XXX,(10:83:D2),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/1{{stream}},H.264,554,1;2;3,,High;Medium;Low,,3,1,admin,password,,http://www.microseven.com/manuals/M7xxx-NetworkCamera-UserGuide_2016_FINAL.pdf
Grandstream,camera,GXV3674_[F]HD_VF,(00:0B:82),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/{{stream}},H.264,554,4,,Stream {{stream}},,4,4,admin,admin,,http://www.grandstream.com/sites/default/files/Resources/GXV3674hd_fhd_v2_usermanual_english.pdf
Grandstream,nvr,GXV3504,(00:0B:82),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/{{channel}},H.264,554,,0;1;2;3;4;5;6;7,,Channel {{channel}},,,admin,admin,,http://www.voipsupply.com/downloads/dl/file/id/8911/grandstream_gxv3504_manual.pdf
Vivotek,camera,CC8130,(00:02:D1),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/live{{stream}}s{{stream}}.sdp,H.264,554,1;2;3;4,,Stream 1;Stream 2;Stream 3;Stream 4,,1,4,,,,http://download.vivotek.com/downloadfile/downloads/usersmanuals/cc8130manual_en.pdf
Vivotek,camera,CC8130,(00:02:D1),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/{{stream}}.sdp,H.264,554,live;live2;liveany,,Stream 1;Stream 2;Stream 3,,live2,live,,,,http://download.vivotek.com/downloadfile/downloads/usersmanuals/cc8130manual_en.pdf
IC Realtime,nvr,NVR,(4C:11:BF),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/cam/realmonitor?channel={{channel}}&subtype={{stream}},H.264,554,0;1;2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,Stream {{stream}},Channel {{channel}},1,0,admin,admin,,http://icrealtime.com/docs/product-manual/Man_NVR716N.pdf
IC Realtime,nvr,NVR,(52:54:4C),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/cam/realmonitor?channel={{channel}}&subtype={{stream}},H.264,554,0;1,01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16,High;Low,Channel {{channel}},1,0,admin,1234,,http://icrealtime.com/docs/product-manual/Man_DVRFLEX4E.pdf
Luma,nvr,Lum-500/501 Series,(00:0F:0D),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}{{channel}}/Streaming/channels/{{channel}}{{stream}},H.264,554,01;02,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,main stream;sub stream,Channel {{channel}},01,02,admin,admin,,https://www.snapav.com/wcsstore/ExtendedSitesCatalogAssetStore/attachments/documents/Surveillance/ManualsAndGuides/Luma-500%20Technical%20Reference%20Manual.pdf
Wirepath,camera,IP Camera,(00:0F:0D|D4:6A:91),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/{{stream}},H.264,554,;v2,,Main Stream;Sub Stream,,v2,,admin,admin,,https://www.snapav.com/wcsstore/ExtendedSitesCatalogAssetStore/attachments/documents/Surveillance/ManualsAndGuides/WPS-750-BUL-IP-GR_Manual.pdf
Wirepath,camera,IP Camera,(00:0F:0D|D4:6A:91),http://{{username}}:{{password}}@{{ip_address}}/GetData.cgi?CH={{channel}}&Codec=h264,H.264,554,,1,,Channel {{channel}},,,admin,admin,,https://www.snapav.com/wcsstore/ExtendedSitesCatalogAssetStore/attachments/documents/Surveillance/ProtocolsAndDrivers/Streaming_Protocols_20160613.pdf
UniFi,nvr,NVR,(D0:27:88),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}},H.264,554,,,,,,,admin,admin,,https://dl.ubnt.com/guides/unifivideo/UniFi_Video_UG.pdf
Unifi,camera,UVC G3,(80:2A:A8),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/s0,H.264,554,,,,,,,admin,admin,,https://dl.ubnt.com/guides/unifivideo/UVC-G3_QSG.pdf
Zmodo,nvr,NVR,(04:5C:06),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/tcp/av{{channel}}_{{stream}},H.264,554,0;1,0;1;2;3,Stream {{stream}},Channel {{channel}},1,0,admin,111111,,http://kb.zmodo.com/index.php?solution_id=1308
Techview,camera,Indoor Camera,(E8:AB:FA),rtsp://{{username}}:{{password}}@{{ip_address}}/12,H.264,554,,,,,,,admin,admin,,http://www.itechview.com/details.php?product=dahua-3mp-network-ir-bullet-camera-1080p-ipc-hfw1320s-new-model
Tyco,camera,Illustra,(00:30:46),rtsp://{{username}}:{{password}}@{{ip_address}}/ufirststream/ufirststream,H.264,,,,,,,,admin,admin,,
Alptop,camera,AT_LIR400,(00:00:1B),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/{{stream}},H.264,554,0,,Stream {{stream}},,0,0,admin,admin,,http://www.alptopsecurity.com/16.html
Revo,nvr,NVR,(00:03:22),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/trackID={{channel}},H.264,554,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,,Channel {{channel}},,,admin,,,https://www.manualslib.com/manual/770991/Revo-Digital-Video-Recorder.html?page=25
Lorex,camera,LNE3003,(00:40:7F),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/video.mp4,H.264,554,0;1,,Stream {{stream}},,1,0,admin,,,https://www.lorextechnology.com/downloads/ip-cameras/LN-Series/LNE3003i_Specs_R1.pdf
Lorex,nvr,NR9320N,(00:40:7F),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/cam/realmonitor?channel={{channel}}&subtype={{stream}},H.264,554,0;1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31,Stream {{stream}},Channel {{channel}},1,0,admin,,,https://www.lorextechnology.com/downloads/security-nvr/NR900-Series/NR900_SERIES_MANUAL_EN_R1_web.pdf
IONODE,nvr,ION-E100,(00:22:CB),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/videoinput_1/h264_{{stream}}/media.stm,H.264,554,1;2,,Stream {{stream}},,2,1,admin,admin,,http://www.ionodes.com/main/uploads/manuals/ION-E100_UserManual.pdf
Reolink,camera,RLC-410WS;RLC-423S,(EC:71:DB|B0:41:1D),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/h264Preview_01_{{stream}},H.264,554,main;sub,,{{stream}} Stream,,sub,main,admin,admin,,https://reolink.com/docs/Reolink-Info.pdf
IeGeek,camera,CT0247US,(02:0F:B5),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/1{{stream}},H.264,554,1;2,,Stream {{stream}},,2,1,admin,admin,,http://www.cd-ipcam.com/
Uniview,nvr,NVR380-64R,(48:EA:63),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/unicast/c{{channel}}/s{{stream}}/live,H.264,554,0;1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,Main Stream;Sub Stream,Channel {{channel}},1,0,admin,12345,,https://g4direct.app.box.com/s/99ts5t3n3mpeqntzie964n56q88fq6xvBf
Trendnet,camera,IP310Pl,(D8:EB:97),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/Streaming/channels/10{{stream}},H.264,554,1;2,,Stream {{stream}},,2,1,admin,admin,,https://www.trendnet.com/support/supportdetail.asp?prod=190_TV-IP310PI
IPCcam,camera,9605E,(C0:99:90),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/1{{stream}},H.264,554,1;2;3,,Stream {{stream}},,2,1,admin,admin,,http://www.ipcam-central.com/v/vspfiles/downloadables/IPCC/IPCC-9605E%20Manual.pdf
Provision-ISR,camera,R838,(08:EA:40),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/udp/av0_0,H.264,554,,,,,,,admin,123456,,https://www.dropbox.com/s/r4l0qdqxucd27bz/310IPEH%20380IPE%20480IP%20Series%20Manual.pdf?dl=1
Sony Corporation,camera,SNC-EM632R;SNC-EM602R;SNC-EM601,(AC:9B:0A|10:4F:A8|FC:F1:52),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/media/video{{stream}},H.264,554,1;2,,Stream {{stream}},,2,1,admin,admin,,http://www.pro.sony.eu/pro/lang/en/eu/support/documents/manuals/video-security-ip-cameras-minidomes/snc-em632r/
Digital Watchdog,camera,MTT4WIA,(00:18:AE),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/profile{{stream}},H.264,554,1;2;3,,Main Stream;Sub Stream;Third Stream,,2,1,admin,admin,,https://digital-watchdog.com/productdetail/DWC-MTT4WiA/
TVT,nvr,TD2700 Series,(00:18:AE),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/?chID={{channel}}&streamType={{stream}}&linkType=tcp,H.264,554,main,1;2;3;4;5;6;7;8,Stream {{stream}},Channel {{channel}},,main,admin,admin,,http://en.tvt.net.cn/upload/products/TD-2700TC-PR%20NV9000%20Quick%20Start%20Guide-450041001028-A0-20170904.pdf
Geovision,nvr,GV-VS2400,(00:13:E2),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/CH00{{channel}}.sdp,H.264,8554,,1;2;3;4,,Channel {{channel}},,,admin,admin,,http://www.geovision.com.tw/product/GV-VS2400
ADT,nvr,A-ADT4H2S,(00:03:22),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/trackID={{channel}},H.264,554,,1;2;3;4,,Channel {{channel}},,,admin,DVRPASSWORD,,http://www.adt-matrix.com/downloads/spec-sheets/A-ADT4HS_MNI2011-02.pdf
Mobotix,camera,s16,(00:03:C5),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/mobotix.h264,H.264,554,,,,,,,admin,admin,,https://www.mobotix.com/sites/default/files/2017-10/Mx_QI_S16_en_20171010.pdf
Matrix,camera,3MP Fixed,(00:1B:09),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/unicaststream/1,H.264,554,,,,,,,admin,admin,,https://www.matrixvideosurveillance.com/3mp-fixed-lens-cameras.html
Q-See,camera,QCW2MPSL,(38:AF:29),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/cam/realmonitor?channel=1&subtype={{stream}},H.264,554,0;1,,Main;Secondary,,1,0,admin,admin,,https://qplus.dozuki.com/Document/IRHTmtVmhSNlbJWT/.pdf
OVISS,nvr,ProS,(FC:D2:B6|E4:F1:4C),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/unicast/c{{channel}}-n/s{{stream}}/live,H.264,8554,0;1,1;2;3;4;5;6;7;8,main stream;sub stream,Channel {{channel}},1,0,admin,admin,,
OVISS,camera,Camera,(FC:D2:B6|E4:F1:4C),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/video{{stream}},H.264,8554,1;2;3,,Main;Sub;Third,,Sub,Main,admin,123456,,
Salient,nvr,Complete View,(BE:FE:11),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/CompleteView/live?cameraid={{stream}},H.264,554,1;2;3;4;5;6;7;8,,Stream {{stream}},,2,1,admin,admin,,https://www.salientsys.com/files/support/Sony%20Camera%20Supplement.pdf
Hanwha,camera,multi-sensor,(00:09:18),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/{{channel}}/profile{{stream}}/media.smp,H.264,554,2,0;1;2;3,Stream {{stream}},Channel {{channel}},2,2,admin,4321,,https://support.hanwhasecurity.com/hc/en-us/articles/236372028-Camera-RTSP-URL
InVid,camera,ELEV-P4SMOKE,(00:46:B8),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/mode=real&idc={{channel}}&ids={{stream}},H.264,554,1;2;3,1,Stream {{stream}},Channel {{channel}},3,1,admin,1234567u,,https://cdn2.hubspot.net/hubfs/4117135/Download%20Center/Elevate/Quick%20Guides%20and%20Manuals/User%20Manual%20of%20Network%20Camera%20V1.0.pdf
Lilin,camera,Camera,(00:0F:FC),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/rtsph264{{stream}},H.264,554,1080p;480p,,Stream {{stream}},,480p,1080p,admin,pass,,https://lilin.zendesk.com/hc/en-gb/article_attachments/115002592986/LILIN_RTSP_JPEG_and_H.264_Streams_Guide.pdf
